ホテル・旅館名,住所・エリア名,最低価格,レビュー評価,詳細リンク
ホテルマイステイズ亀戸,ホテルマイステイズ亀戸,"2名税込6,468円〜",評価なし,https://www.ikyu.com/00080870/?discsort=1&lc=1&ppc=2&rc=1&st=1
渋谷グランベルホテル,渋谷グランベルホテル,"2名税込23,740円〜",評価なし,https://www.ikyu.com/00080864/?discsort=1&lc=1&ppc=2&rc=1&st=1
ネストホテルオルト蔵前駅前,ネストホテルオルト蔵前駅前,"2名税込10,878円〜",都営浅草線蔵前駅直結！ビジネスにレジャーに、活動拠点としてご活用下さいませ！,https://www.ikyu.com/00082304/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈飯田橋駅前〉,アパホテル〈飯田橋駅前〉,"2名税込8,100円〜",評価なし,https://www.ikyu.com/00081261/?discsort=1&lc=1&ppc=2&rc=1&st=1
ベッセルイン上野入谷駅前,ベッセルイン上野入谷駅前,"2名税込9,737円〜",東京メトロ日比谷線「入谷駅」出口3・4から徒歩1分。「入谷駅」は上野、秋葉原、銀座など東京観光やビジネスの拠点に便利です。清潔な客室は、全室シモンズ社のポケットコイルベッドを採用し、加湿機能付き空気清浄機を設置しております。全室Wi-Fiと有線LANを完備しており、高速インターネットを無料で楽しめます。また、ウェルカムドリンク・お茶漬けなどを無料でサービスしております。ホテルに到着されてほっと一息、また外出から帰られてもお夜食としてもお召し上がりいただけ、ファミリーや女性のお客さまにも好評です。お客様のお越しを従業員一同心よりお待ち申しあげております。,https://www.ikyu.com/00081241/?discsort=1&lc=1&ppc=2&rc=1&st=1
ベッセルイン浅草 つくばエクスプレス,ベッセルイン浅草 つくばエクスプレス,"2名税込11,270円〜",評価なし,https://www.ikyu.com/00082532/?discsort=1&lc=1&ppc=2&rc=1&st=1
the b 赤坂,the b 赤坂,"2名税込9,775円〜",評価なし,https://www.ikyu.com/00080118/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルバー グランティオス,ホテルバー グランティオス,日本橋「人形町駅」より徒歩2分、コンビニまで30秒の好立地。羽田空港から乗り換えなし最短32分で到着。銀座、品川、上野、浅草、六本木など都内主要駅へのアクセスも便利。ロビーには、女性用化粧品や入浴剤など約30種類の無料アメニティの他に6種類のシャンプーバーをご用意。ヘアアイロンやナノケアなど無料レンタル品も充実(先着順、数に限りがございます)。館内は全館Wi-Fi利用可能。客室も個別Wi-Fi対応となっております。客室では備え付けのandroidTVで「YouTube」など多くの動画配信サービスをお楽しみいただけます。バスルームの浴槽は通常の浴槽より丸みを帯びた楕円形の浴槽でゆっくりお寛ぎいただけます。アメニティコーナーにある入浴剤で1日の疲れをしっかりと癒してください。,JR・地下鉄各線「池袋駅」西口(北)から徒歩4分の好立地！全室に米国シェアNo.1シーリー社と共同開発したアパホテルオリジナルベッド「Cloud Fit」を導入、1Fレストラン「宍道湖しじみ中華蕎麦　琥珀」ミシュランガイド東京　ビブグルマン3年連続掲載店。1500円にてご利用いただけます。また、24時間営業のコンビニエンスストアが徒歩1分と、便利で快適なひとときをお約束します。ビジネスは勿論、レジャーの拠点としても最適な池袋での滞在にご活用ください！,https://www.ikyu.com/00081048/?discsort=1&lc=1&ppc=2&rc=1&st=1
イチホテル東京八丁堀,イチホテル東京八丁堀,"2名税込11,120円〜",評価なし,https://www.ikyu.com/00082016/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ神田,ホテルマイステイズ神田,"2名税込7,644円〜",JR山手線「神田駅」徒歩6分。「三越前駅」「新日本橋駅」「小伝馬町駅」「岩本町駅」もすべて徒歩圏内！東京スカイツリー®や東京ディズニーリゾート®など話題のスポットへアクセス良好です！コンビニや飲食店も近隣に豊富にあり、ビジネス・観光など、都心における活動拠点として最適です。もっと自由に、もっと快適に都会を賢く使いこなす、フレキシブルな滞在をご提案します。設備にこだわった室内は、全室インターネット接続無料。電子レンジ付きの客室（一部の客室）や、24時間利用可能なコインランドリーもあり、通常のホテルの機能に加え、長期滞在用の快適さと機能性にも優れています。,https://www.ikyu.com/00080750/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズプレミア赤坂,ホテルマイステイズプレミア赤坂,"2名税込13,132円〜",評価なし,https://www.ikyu.com/00081188/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルインターゲート東京　京橋,ホテルインターゲート東京　京橋,"2名税込18,738円〜",評価なし,https://www.ikyu.com/00081436/?discsort=1&lc=1&ppc=2&rc=1&st=1
からくさホテルプレミア東京銀座,からくさホテルプレミア東京銀座,"2名税込27,821円〜",評価なし,https://www.ikyu.com/00082146/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈羽田 穴守稲荷駅前〉,アパホテル〈羽田 穴守稲荷駅前〉,"2名税込9,090円〜",評価なし,https://www.ikyu.com/00082443/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルシーサイド江戸川,東京都・葛西臨海公園,"2名税込17,052円〜",24万坪もの広大な葛西臨海公園内、深い緑と潮風に囲まれて建つアーバンリゾート、それがホテルシーサイド江戸川です。東京駅から電車でわずか15分とは思えない、静寂とくつろぎ。そこには、さえずる小鳥、広い空、悠久の時を刻む潮の満引きがあります。ベイエリアの観光拠点に、親しい方々との集いやウェディングに、ビジネスミーティングに、多彩なご要望にお応えします。,https://www.ikyu.com/00001652/?discsort=1&lc=1&ppc=2&rc=1&st=1
DDD HOTEL,DDD HOTEL,"2名税込13,230円〜",評価なし,https://www.ikyu.com/00081743/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ池袋,東急ステイ池袋,"2名税込14,149円〜",評価なし,https://www.ikyu.com/00081490/?discsort=1&lc=1&ppc=2&rc=1&st=1
the b 新橋,the b 新橋,"2名税込13,940円〜",銀座、汐留、虎ノ門は徒歩圏内、お台場までのアクセスも良好な「the b 新橋」。他に類を見ないほど、東京の主要エリアへのアクセスに優れたホテルを拠点に、自由自在な旅をお楽しみください。”スタイル”にこだわるゲストの滞在を彩る個性的な空間が旅の楽しさを加速させます。,https://www.ikyu.com/00081396/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈京成上野駅前〉,アパホテル〈京成上野駅前〉,"2名税込9,090円〜",評価なし,https://www.ikyu.com/00081110/?discsort=1&lc=1&ppc=2&rc=1&st=1
LAVA SAUNA ＆ VILLA,LAVA SAUNA ＆ VILLA,"2名税込53,900円〜",評価なし,https://www.ikyu.com/00051736/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルルートインGrand東京浅草橋,ホテルルートインGrand東京浅草橋,"2名税込12,838円〜",評価なし,https://www.ikyu.com/00081562/?discsort=1&lc=1&ppc=2&rc=1&st=1
亀島川温泉　新川の湯　ドーミーイン東京八丁堀（2025年8月8日リニューアルオープン）,亀島川温泉　新川の湯　ドーミーイン東京八丁堀（2025年8月8日リニューアルオープン）,"2名税込16,660円〜",評価なし,https://www.ikyu.com/00080488/?discsort=1&lc=1&ppc=2&rc=1&st=1
ダイワロイネットホテル東京赤羽,ダイワロイネットホテル東京赤羽,"2名税込7,214円〜",JR「赤羽駅」南改札東口より徒歩約2分。駅前に多くの飲食店があり、スーパー、コンビニエンスストアは徒歩約5分圏内と大変便利！レトロな居酒屋が立ち並ぶ「赤羽一番街」までは徒歩約5分ほど。いつでもタイムスリップできる懐かしさをご堪能ください。さらにJR「赤羽駅」には５路線も通っており、東京の起点のご宿泊としてビジネス・観光どちらにもおすすめ。客室は機能性と快適性を兼ね備えた落ち着きの空間です。,https://www.ikyu.com/00080564/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈池袋駅北口〉,アパホテル〈池袋駅北口〉,JR・地下鉄各線「池袋駅」西口(北)から徒歩4分の好立地！全室に米国シェアNo.1シーリー社と共同開発したアパホテルオリジナルベッド「Cloud Fit」を導入、1Fレストラン「宍道湖しじみ中華蕎麦　琥珀」ミシュランガイド東京　ビブグルマン3年連続掲載店。1500円にてご利用いただけます。また、24時間営業のコンビニエンスストアが徒歩1分と、便利で快適なひとときをお約束します。ビジネスは勿論、レジャーの拠点としても最適な池袋での滞在にご活用ください！,JR・地下鉄各線「池袋駅」西口(北)から徒歩4分の好立地！全室に米国シェアNo.1シーリー社と共同開発したアパホテルオリジナルベッド「Cloud Fit」を導入、1Fレストラン「宍道湖しじみ中華蕎麦　琥珀」ミシュランガイド東京　ビブグルマン3年連続掲載店。1500円にてご利用いただけます。また、24時間営業のコンビニエンスストアが徒歩1分と、便利で快適なひとときをお約束します。ビジネスは勿論、レジャーの拠点としても最適な池袋での滞在にご活用ください！,https://www.ikyu.com/00080728/?discsort=1&lc=1&ppc=2&rc=1&st=1
THE KNOT TOKYO Shinjuku,THE KNOT TOKYO Shinjuku,"2名税込15,120円〜",評価なし,https://www.ikyu.com/00082141/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈八丁堀駅前〉,アパホテル〈八丁堀駅前〉,"2名税込8,100円〜",評価なし,https://www.ikyu.com/00082541/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル日本橋サイボー,ホテル日本橋サイボー,日本橋「人形町駅」より徒歩2分、コンビニまで30秒の好立地。羽田空港から乗り換えなし最短32分で到着。銀座、品川、上野、浅草、六本木など都内主要駅へのアクセスも便利。ロビーには、女性用化粧品や入浴剤など約30種類の無料アメニティの他に6種類のシャンプーバーをご用意。ヘアアイロンやナノケアなど無料レンタル品も充実(先着順、数に限りがございます)。館内は全館Wi-Fi利用可能。客室も個別Wi-Fi対応となっております。客室では備え付けのandroidTVで「YouTube」など多くの動画配信サービスをお楽しみいただけます。バスルームの浴槽は通常の浴槽より丸みを帯びた楕円形の浴槽でゆっくりお寛ぎいただけます。アメニティコーナーにある入浴剤で1日の疲れをしっかりと癒してください。,評価なし,https://www.ikyu.com/00080879/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈浅草 田原町駅前〉,アパホテル〈浅草 田原町駅前〉,"2名税込9,115円〜",東京・六本木交差点から徒歩約1分。安眠と安心ステイが叶う快適ホテル,https://www.ikyu.com/00081345/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルウィングインターナショナル東京赤羽,ホテルウィングインターナショナル東京赤羽,"2名税込5,980円〜",評価なし,https://www.ikyu.com/00081708/?discsort=1&lc=1&ppc=2&rc=1&st=1
コンフォートイン東京六本木,コンフォートイン東京六本木,"2名税込10,881円〜",「コンフォートイン東京六本木」は、都営大江戸線・東京メトロ日比谷線「六本木駅」から徒歩1分の好立地！都内5ホテル目のコンフォートブランドのホテルです。人気観光スポットである六本木ヒルズ、東京ミッドタウンへは徒歩でわずか5分、国立新美術館まで徒歩12分、新宿エリアまで地下鉄で10分です。六本木交差点から見える東京タワーへも、地下鉄で1駅という絶好のロケーションにあります。朝食は洋食中心のビュッフェスタイル。ほかにもトムヤムクンやおかゆなど、本格的なベトナム料理もお楽しみいただけます。お好きなものをお好きなだけ、お召し上がり下さいませ。,https://www.ikyu.com/00082169/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ上野入谷口,ホテルマイステイズ上野入谷口,"2名税込7,644円〜",JR上野駅から徒歩約5分の好立地。東京観光の拠点にも最適,https://www.ikyu.com/00081000/?discsort=1&lc=1&ppc=2&rc=1&st=1
赤坂グランベルホテル,赤坂グランベルホテル,"朝食付2名税込12,635円〜",評価なし,https://www.ikyu.com/00080622/?discsort=1&lc=1&ppc=2&rc=1&st=1
明神の湯ドーミーインPREMIUM神田,明神の湯ドーミーインPREMIUM神田,"2名税込16,660円〜",評価なし,https://www.ikyu.com/00081322/?discsort=1&lc=1&ppc=2&rc=1&st=1
メルキュール東京羽田エアポート,東京都・大田区,ポイント2%（288円分）獲得,評価なし,https://www.ikyu.com/00003066/?discsort=1&lc=1&ppc=2&rc=1&st=1
徒士の湯　ドーミーイン上野・御徒町,徒士の湯　ドーミーイン上野・御徒町,"2名税込16,660円〜",評価なし,https://www.ikyu.com/00081030/?discsort=1&lc=1&ppc=2&rc=1&st=1
レム秋葉原,レム秋葉原,"2名税込14,540円〜",評価なし,https://www.ikyu.com/00080063/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈赤羽岩淵駅前〉,アパホテル〈赤羽岩淵駅前〉,"2名税込7,200円〜",評価なし,https://www.ikyu.com/00082667/?discsort=1&lc=1&ppc=2&rc=1&st=1
変なホテル東京　羽田,変なホテル東京　羽田,"2名税込9,750円〜",評価なし,https://www.ikyu.com/00082240/?discsort=1&lc=1&ppc=2&rc=1&st=1
hotel MONday 羽田空港,hotel MONday 羽田空港,"2名税込10,370円〜",評価なし,https://www.ikyu.com/00081501/?discsort=1&lc=1&ppc=2&rc=1&st=1
ネストホテル東京半蔵門,ネストホテル東京半蔵門,"2名税込13,080円〜",評価なし,https://www.ikyu.com/00081467/?discsort=1&lc=1&ppc=2&rc=1&st=1
高濃度炭酸泉 福来路の湯 スーパーホテル池袋駅北口,高濃度炭酸泉 福来路の湯 スーパーホテル池袋駅北口,"2名税込8,624円〜",評価なし,https://www.ikyu.com/00081751/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈茅場町八丁堀駅前〉,アパホテル〈茅場町八丁堀駅前〉,"2名税込8,100円〜",評価なし,https://www.ikyu.com/00082581/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈東京大島〉,アパホテル〈東京大島〉,"2名税込8,100円〜",評価なし,https://www.ikyu.com/00080881/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈赤坂見附〉,アパホテル〈赤坂見附〉,"2名税込8,100円〜",評価なし,https://www.ikyu.com/00080722/?discsort=1&lc=1&ppc=2&rc=1&st=1
アゴーラ 東京銀座,アゴーラ 東京銀座,"2名税込23,465円〜",評価なし,https://www.ikyu.com/00082021/?discsort=1&lc=1&ppc=2&rc=1&st=1
相鉄フレッサイン東京六本木,相鉄フレッサイン東京六本木,"2名税込12,750円〜",東京・六本木交差点から徒歩約1分。安眠と安心ステイが叶う快適ホテル,https://www.ikyu.com/00081370/?discsort=1&lc=1&ppc=2&rc=1&st=1
京王プレッソイン浜松町,京王プレッソイン浜松町,"2名税込9,115円〜",評価なし,https://www.ikyu.com/00081293/?discsort=1&lc=1&ppc=2&rc=1&st=1
the b 三軒茶屋,the b 三軒茶屋,"2名税込14,260円〜",東京の真ん中、千代田区にありながら閑静な雰囲気のホテル。当館は「麹町」「半蔵門」「四ツ谷」「市ヶ谷」の4駅6路線が徒歩圏内のアクセス抜群な立地です。東京のどこに行くでも旅の拠点に最適です。館内には2フロア分の吹き抜けが開放感を演出するレストランがあり、ガラス一面から浴びる朝日は素晴らしい一日の始まりになります。皆様にご利用頂けますのをお待ち申し上げております。,https://www.ikyu.com/00081008/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルリソル上野,ホテルリソル上野,"2名税込16,744円〜",上野駅より徒歩約1分、都内各所へも簡単アクセス。お部屋は「ホテル」のスタイルに「靴を脱ぐ」という日本の生活様式を採り入れ、心からくつろげる快適で清潔な空間づくりをしています。朝食は、オリジナルの野菜たっぷりベーグルサンド、または焼きたてのプティパンの朝食セットをご用意。カフェスペースは勿論、お部屋でもお召し上がりいただけます。ビジネス・観光の拠点として、ぜひご利用ください。,https://www.ikyu.com/00082120/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン秋葉原,京急EXイン秋葉原,"朝食付2名税込8,644円〜",評価なし,https://www.ikyu.com/00081135/?discsort=1&lc=1&ppc=2&rc=1&st=1
アゴーラプレイス 東京浅草,アゴーラプレイス 東京浅草,"2名税込6,051円〜",アゴーラプレイス 東京浅草は、浅草寺・雷門から徒歩圏内の便利なロケーション。世界的観光都市、浅草への旅行・ビジネスの拠点として最適なホテルです。自由自在な自分スタイルのステイをお楽しみください。,https://www.ikyu.com/00080851/?discsort=1&lc=1&ppc=2&rc=1&st=1
秋葉原ワシントンホテル,秋葉原ワシントンホテル,"2名税込14,754円〜",世界にその名が知られる秋葉原電気街・ITセンター街に隣接し、都内各所へのアクセスも楽々便利。人と情報が集うこの街で、機能性と安らぎを兼ね備えた新しいホスピタリティを提供してまいります。ビジネス、観光、ショッピングの拠点として快適にご利用ください。,https://www.ikyu.com/00080293/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヴィラフォンテーヌ東京大手町｜住友不動産,ヴィラフォンテーヌ東京大手町｜住友不動産,"2名税込12,402円〜",評価なし,https://www.ikyu.com/00080632/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ五反田,東急ステイ五反田,"2名税込15,172円〜",「五反田」駅徒歩1分、ビジネス・観光の拠点に最適。客室に洗濯乾燥機があるホテル。ゆとりを持たせた広めの客室と設備で、心身ともにリラックスできる安らぎの空間をご提案しますすべての客室に洗濯乾燥機・電子レンジを設置しており、連泊・中長期の滞在も快適にお過ごしいただけます。また、手軽に使用できるミニキッチンと、簡単な調理器具や食器をご用意しているお部屋もございます。※設備仕様は部屋タイプにより異なります。,https://www.ikyu.com/00081500/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル1899東京,ホテル1899東京,"2名税込21,070円〜",評価なし,https://www.ikyu.com/00081520/?discsort=1&lc=1&ppc=2&rc=1&st=1
相鉄フレッサイン日本橋人形町,相鉄フレッサイン日本橋人形町,"2名税込10,200円〜",評価なし,https://www.ikyu.com/00080846/?discsort=1&lc=1&ppc=2&rc=1&st=1
東急ステイ日本橋,東急ステイ日本橋,"2名税込10,242円〜",評価なし,https://www.ikyu.com/00081483/?discsort=1&lc=1&ppc=2&rc=1&st=1
展望大浴場　あさひ湯　ドーミーインEXPRESS浅草,展望大浴場　あさひ湯　ドーミーインEXPRESS浅草,"2名税込10,800円〜",評価なし,https://www.ikyu.com/00080500/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈神田駅前〉,アパホテル〈神田駅前〉,"2名税込9,180円〜",評価なし,https://www.ikyu.com/00081453/?discsort=1&lc=1&ppc=2&rc=1&st=1
fav 東京西日暮里,fav 東京西日暮里,"2名税込20,311円〜",評価なし,https://www.ikyu.com/00082584/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン 品川・新馬場駅北口,京急EXイン 品川・新馬場駅北口,"2名税込9,310円〜",評価なし,https://www.ikyu.com/00080697/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルビスタ東京［築地］,ホテルビスタ東京［築地］,"2名税込14,630円〜",評価なし,https://www.ikyu.com/00081943/?discsort=1&lc=1&ppc=2&rc=1&st=1
東京グリーンパレス,東京グリーンパレス,"2名税込12,878円〜",東京の真ん中、千代田区にありながら閑静な雰囲気のホテル。当館は「麹町」「半蔵門」「四ツ谷」「市ヶ谷」の4駅6路線が徒歩圏内のアクセス抜群な立地です。東京のどこに行くでも旅の拠点に最適です。館内には2フロア分の吹き抜けが開放感を演出するレストランがあり、ガラス一面から浴びる朝日は素晴らしい一日の始まりになります。皆様にご利用頂けますのをお待ち申し上げております。,https://www.ikyu.com/00080621/?discsort=1&lc=1&ppc=2&rc=1&st=1
イーホテル東新宿,イーホテル東新宿,"2名税込10,860円〜",評価なし,https://www.ikyu.com/00080820/?discsort=1&lc=1&ppc=2&rc=1&st=1
ワイヤーズホテル品川シーサイド,ワイヤーズホテル品川シーサイド,"2名税込9,964円〜",評価なし,https://www.ikyu.com/00082060/?discsort=1&lc=1&ppc=2&rc=1&st=1
センチュリオンホテル池袋,センチュリオンホテル池袋,"2名税込12,348円〜",評価なし,https://www.ikyu.com/00081306/?discsort=1&lc=1&ppc=2&rc=1&st=1
相鉄フレッサイン東京京橋,相鉄フレッサイン東京京橋,"2名税込14,260円〜",評価なし,https://www.ikyu.com/00080760/?discsort=1&lc=1&ppc=2&rc=1&st=1
トーセイホテルココネ神田,トーセイホテルココネ神田,"2名税込8,075円〜",日本の古き良き街を堪能できる「人形町」徒歩圏内には明治座があり、閑静なビジネス街で静かにごゆっくりお寛ぎいただけます。銀座・浅草・六本木・舞浜など観光の拠点にも最適。羽田空港・成田空港へは乗り換えなしでアクセス抜群！,https://www.ikyu.com/00081457/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルルートイン東京蒲田－あやめ橋－,ホテルルートイン東京蒲田－あやめ橋－,"朝食付2名税込11,956円〜",評価なし,https://www.ikyu.com/00081432/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ上野イースト,ホテルマイステイズ上野イースト,"2名税込7,840円〜",東京の東の玄関口　上野駅から徒歩8分という好立地にホテル上野イーストは位置しています。ちょっと広めの客室がひとまわり大きなリラックスをお届けするばかりでなく、常に新しいサービスに挑戦し、お客様の快適な行動拠点として、明るくスピーディなおもてなしでお迎えいたします。,https://www.ikyu.com/00080081/?discsort=1&lc=1&ppc=2&rc=1&st=1
相鉄フレッサイン銀座七丁目,相鉄フレッサイン銀座七丁目,"2名税込17,504円〜",評価なし,https://www.ikyu.com/00081164/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈西麻布〉,アパホテル〈西麻布〉,"2名税込8,280円〜",東京メトロ日比谷線「広尾駅」から徒歩5分！六本木・麻布エリアで絶好の拠点です。六本木ヒルズへ徒歩9分。ビジネス・観光とお客様の様々なライフスタイルに合わせてご利用頂けます。また、全室無線LANとWi-Fiに対応しており無料でご利用頂けます。ご朝食はベーカリー「ecru」にて国産小麦・天然酵母にこだわった焼き立てパンのブュッフェと卵料理をご用意しております。,https://www.ikyu.com/00080883/?discsort=1&lc=1&ppc=2&rc=1&st=1
ANAホリデイ・イン東京ベイ by IHG,東京都・品川区,ポイント2%（384円分）獲得,東京湾に面した天王洲に誕生した「ANAホリデイ・イン東京ベイ」は、観光やビジネスの拠点として最適なロケーションを誇ります。静かで落ち着いた環境と優れたアクセスを兼ね備え、快適なベイビュー客室にはWi-Fiやミニ冷蔵庫、コーヒーメーカーなどの設備も充実。人とのつながりを大切にした心温まるおもてなしで、家族との団らんや一人時間も心地よく。自由に過ごせるオープンラウンジも魅力です。,https://www.ikyu.com/00003341/?discsort=1&lc=1&ppc=2&rc=1&st=1
Hotel Vintage 目黒不動前,Hotel Vintage 目黒不動前,"2名税込19,080円〜",デザイン性と快適さを両立した、全13室のブティックホテルが目黒エリアに誕生。家具や照明にこだわったミッドセンチュリーモダンなインテリア空間で、都会にいながらも非日常を感じられる滞在を提供します。当ホテルは、目黒不動前駅から目黒不動前駅から徒歩約7分 。品川・渋谷・恵比寿・六本木など、東京の主要エリアへスムーズにアクセスできます。観光やビジネスの拠点として、利便性に優れた立地です。1階には、宿泊者以外にも人気のベーカリーカフェ「THE ORDY BAKERY」を併設。滞在中のちょっとしたコーヒーブレイクや朝の軽食にもご利用いただけます（本プランは素泊まりのため、朝食は含まれておりません）。お部屋は全室20平米以上のゆとりある空間設計。セミダブル以上のゆったりとしたベッド、無料Wi-Fi、独立バス・トイレ付きで、短期・長期どちらの滞在にも対応。,https://www.ikyu.com/00031250/?discsort=1&lc=1&ppc=2&rc=1&st=1
コンフォートホテルERA東京東神田,コンフォートホテルERA東京東神田,"2名税込11,466円〜",JR馬喰町駅から徒歩4分、東京駅までは電車で約4分の好立地！ビジネス・観光の拠点に大変便利です。客室は快眠を追求した独自開発のベッドパット・ピローを全室に設置。また、有線LAN＆wi-fiに対応しています。,https://www.ikyu.com/00081267/?discsort=1&lc=1&ppc=2&rc=1&st=1
コンフォートホテル東京清澄白河,コンフォートホテル東京清澄白河,"朝食付2名税込10,925円〜",東京メトロ半蔵門線・都営大江戸線「清澄白河駅」B1出口から直結、1階にはコンビニエンスストアを備えた利便性の高いホテルです。東京スカイツリーまで3駅、ビジネスや観光の拠点として最適なホテルです。全室インターネット接続無料、12歳以下のお子様の添い寝は無料です。24時までご利用いただける無料のオープンスペース「ライブラリーカフェ」を併設。無料のドリンクを片手に仕事に集中したい時、本を読みながらリラックスしたい時、ぜひご利用ください。無料朝食サービスは、多彩なメニューを取り揃えています。 シーンに合わせてお好きなものをお好きなだけお召し上がりください。,https://www.ikyu.com/00080194/?discsort=1&lc=1&ppc=2&rc=1&st=1
イビススタイルズ東京銀座,イビススタイルズ東京銀座,ポイント2%（342円分）獲得,評価なし,https://www.ikyu.com/00082362/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル京阪 築地銀座 グランデ,ホテル京阪 築地銀座 グランデ,"2名税込23,716円〜",銀座と築地の観光・ビジネ拠点に使いたい上質な駅チカホテル,https://www.ikyu.com/00081672/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈新橋 御成門〉,アパホテル〈新橋 御成門〉,"2名税込8,280円〜",評価なし,https://www.ikyu.com/00080729/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルクラウンヒルズ上野プレミア,ホテルクラウンヒルズ上野プレミア,"2名税込15,040円〜",評価なし,https://www.ikyu.com/00081128/?discsort=1&lc=1&ppc=2&rc=1&st=1
アーバイン東京・上野 北千住,アーバイン東京・上野 北千住,"2名税込7,840円〜",北千住駅西口より徒3分の好立地！下町情緒あふれる千住エリアに新たな拠点。首都圏でのビジネスや観光の発着点として快適でくつろげる癒しの空間をご提供。ホテルからスカイツリーや上野・浅草エリアへのお出かけもスムーズで最適。また北千住駅発着の路線も多く都心へのアクセスも良好。全館wi-fi接続無料。ビジネスに観光にご利用くださいませ。,https://www.ikyu.com/00081588/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルマイステイズ羽田,ホテルマイステイズ羽田,"2名税込8,820円〜",羽田空港から車で約10分、京急線「穴守稲荷」駅徒歩4分の立地。羽田空港利用の前後泊のご利用はもちろん、新宿や横浜などの主要拠点にも1時間足らずでアクセス可能。羽田空港-ホテル間は無料シャトルバスを運行。館内にはフィットネスジム、ライブラリーなどがあり、思い思いのお時間をお過ごしいただけます。,https://www.ikyu.com/00080982/?discsort=1&lc=1&ppc=2&rc=1&st=1
sequence MIYASHITA PARK,sequence MIYASHITA PARK,"2名税込25,188円〜",評価なし,https://www.ikyu.com/00082022/?discsort=1&lc=1&ppc=2&rc=1&st=1
プリンス スマート イン 恵比寿,プリンス スマート イン 恵比寿,"2名税込23,144円〜",評価なし,https://www.ikyu.com/00082044/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈人形町駅北〉,アパホテル〈人形町駅北〉,"2名税込8,190円〜",日本の古き良き街を堪能できる「人形町」徒歩圏内には明治座があり、閑静なビジネス街で静かにごゆっくりお寛ぎいただけます。銀座・浅草・六本木・舞浜など観光の拠点にも最適。羽田空港・成田空港へは乗り換えなしでアクセス抜群！,https://www.ikyu.com/00080712/?discsort=1&lc=1&ppc=2&rc=1&st=1
アパホテル〈浅草橋駅北〉,アパホテル〈浅草橋駅北〉,"2名税込7,200円〜",評価なし,https://www.ikyu.com/00081042/?discsort=1&lc=1&ppc=2&rc=1&st=1
京急EXイン蒲田,京急EXイン蒲田,"2名税込8,075円〜",評価なし,https://www.ikyu.com/00080684/?discsort=1&lc=1&ppc=2&rc=1&st=1
ネストホテルオルト目黒駅前,ネストホテルオルト目黒駅前,"2名税込8,272円〜",主要都市「新宿・横浜」まで快速・急行で30分の町田駅から至近。“和モダン”をデザインコンセプトとした落ち着いた雰囲気のロビーとアロマの香りがお出迎えします。全客室にWi-Fi、加湿空気清浄機、ベッドにはリソルオリジナルの低反発ポケットコイル式マットレスを組み込んだワイドな快眠ベッドを採用。1階レストラン「獅子丸町田総本店」では毎朝6時から和食を中心とした料理長自慢の朝ごはん、夜は自信作のもつ鍋をはじめ厳選した九州料理を九州の銘酒と共にお楽しみ下さい。ビジネス・観光の拠点として、くつろぎの空間をご提供いたします。,https://www.ikyu.com/00080514/?discsort=1&lc=1&ppc=2&rc=1&st=1
