ホテル・旅館名,住所・エリア名,最低価格,レビュー評価,詳細リンク
ホテルメトロポリタン　エドモント,東京都・水道橋／飯田橋駅徒歩5分,"2名税込13,192円〜",評価なし,https://www.ikyu.com/00000618/?discsort=1&lc=1&ppc=2&rc=1&st=1
SORANO HOTEL,東京都・立川市,"2名税込27,742円〜",評価なし,https://www.ikyu.com/00003297/?discsort=1&lc=1&ppc=2&rc=1&st=1
アンダーズ 東京,東京都・虎ノ門ヒルズ 森タワー,"2名税込96,838円〜",ハイアットが手がける日本初のラグジュアリー ライフスタイルホテル「アンダーズ 東京」。アンダーズは、ヒンディ語で「パーソナル スタイル」を意味し、まるで自宅にいるかのように、自分らしく自然体で過ごしていただけるよう、形式にとらわれず肩肘張らないおもてなしを提供します。虎ノ門ヒルズの最上階を含む47～52階に位置し、東京タワーや皇居、東京スカイツリーなど東京のあらゆるランドマークを一望できるパノラミックな眺望をご堪能いただけます。丸の内、銀座、六本木エリアからも程近くビジネス・レジャーの拠点にも最適です。,https://www.ikyu.com/00002011/?discsort=1&lc=1&ppc=2&rc=1&st=1
ロイヤルパークホテル,東京都・日本橋・水天宮前駅直結,"2名税込29,568円〜",評価なし,https://www.ikyu.com/00000103/?discsort=1&lc=1&ppc=2&rc=1&st=1
ブルガリ ホテル 東京,東京都・中央区,"ポイント2%（4,554円分）獲得",評価なし,https://www.ikyu.com/00003044/?discsort=1&lc=1&ppc=2&rc=1&st=1
THE BLOSSOM HIBIYA（ザ ブラッサム 日比谷）,東京都・新橋,"2名税込33,810円〜",評価なし,https://www.ikyu.com/00002653/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルモントレ銀座,東京都・銀座二丁目,"2名税込14,630円〜",評価なし,https://www.ikyu.com/00000272/?discsort=1&lc=1&ppc=2&rc=1&st=1
ヴィラフォンテーヌ グランド 羽田空港｜住友不動産,東京都・羽田空港,"2名税込16,724円〜",評価なし,https://www.ikyu.com/00002768/?discsort=1&lc=1&ppc=2&rc=1&st=1
京王プラザホテル,東京都・新宿西口,"2名税込44,884円〜",評価なし,https://www.ikyu.com/00000187/?discsort=1&lc=1&ppc=2&rc=1&st=1
周辺都市,中央区,不明,評価なし,https://www.ikyu.com/tokyo/pr13/ct13002000/?adc=1&adcid=202550369&adgid=12503541209&discsort=1&ikCo=google&lc=1&per_page=20&pn=1&ppc=2&rc=1&si=6
ホテル八重の翠東京,ホテル八重の翠東京,"2名税込16,245円〜",江戸の頃より伝統と革新が交わる東京の原点でもある日本橋。江戸文化で栄えた日本橋らしさをミックスし、日本橋の「粋」を体感できるデザインを随所に取り入れた三井ガーデンホテル日本橋プレミアで、ワンランク上のくつろぎをお楽しみください。,https://www.ikyu.com/00081898/?discsort=1&lc=1&ppc=2&rc=1&st=1
ウェスティンホテル東京,東京都・恵比寿ガーデンプレイス,"ポイント2%（1,366円分）獲得",評価なし,https://www.ikyu.com/00000239/?discsort=1&lc=1&ppc=2&rc=1&st=1
ニューオータニイン東京,ニューオータニイン東京,"2名税込9,001円〜",大崎駅直結！ビジネスや観光の拠点に最適な、女性お一人様でも安心のホテル,https://www.ikyu.com/00080521/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルモントレ赤坂,東京都・赤坂見附,"2名税込11,242円〜",評価なし,https://www.ikyu.com/00001249/?discsort=1&lc=1&ppc=2&rc=1&st=1
三井ガーデンホテル日本橋プレミア,東京都・東京メトロ「三越前」駅 地下直結,"2名税込20,928円〜",江戸の頃より伝統と革新が交わる東京の原点でもある日本橋。江戸文化で栄えた日本橋らしさをミックスし、日本橋の「粋」を体感できるデザインを随所に取り入れた三井ガーデンホテル日本橋プレミアで、ワンランク上のくつろぎをお楽しみください。,https://www.ikyu.com/00002511/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・ゲートホテル東京 by HULIC,東京都・千代田区,"2名税込32,590円〜",評価なし,https://www.ikyu.com/00002570/?discsort=1&lc=1&ppc=2&rc=1&st=1
ANAインターコンチネンタルホテル東京 by IHG,東京都・赤坂・溜池山王,ポイント2%（800円分）獲得,評価なし,https://www.ikyu.com/00000610/?discsort=1&lc=1&ppc=2&rc=1&st=1
羽田エクセルホテル東急,東京都・羽田空港第二ビル,"2名税込21,952円〜",評価なし,https://www.ikyu.com/00000894/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルモントレ半蔵門,東京都・半蔵門駅徒歩1分,"2名税込12,012円〜",評価なし,https://www.ikyu.com/00001192/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルかずさや,ホテルかずさや,"2名税込13,190円〜",評価なし,https://www.ikyu.com/00082098/?discsort=1&lc=1&ppc=2&rc=1&st=1
三井ガーデンホテル銀座プレミア,東京都・新橋駅 徒歩3分,"2名税込30,270円〜",評価なし,https://www.ikyu.com/00001045/?discsort=1&lc=1&ppc=2&rc=1&st=1
小田急ホテルセンチュリーサザンタワー,東京都・新宿駅南口,"2名税込32,200円〜",評価なし,https://www.ikyu.com/00000212/?discsort=1&lc=1&ppc=2&rc=1&st=1
東京エディション虎ノ門,東京都・虎ノ門,"ポイント2%（2,276円分）獲得",評価なし,https://www.ikyu.com/00002782/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・ゲートホテル両国 by HULIC,東京都・両国,"2名税込19,155円〜",評価なし,https://www.ikyu.com/00002817/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテルメトロポリタン,東京都・池袋,"2名税込17,248円〜",評価なし,https://www.ikyu.com/00000131/?discsort=1&lc=1&ppc=2&rc=1&st=1
ザ・リッツ・カールトン東京,東京都・東京ミッドタウン・六本木駅直結,"ポイント2%（2,678円分）獲得",評価なし,https://www.ikyu.com/00001290/?discsort=1&lc=1&ppc=2&rc=1&st=1
リッチモンドホテルプレミア浅草,リッチモンドホテルプレミア浅草,"2名税込13,325円〜",評価なし,https://www.ikyu.com/00081057/?discsort=1&lc=1&ppc=2&rc=1&st=1
ホテル モンテ エルマーナ東京,ホテル モンテ エルマーナ東京,"2名税込20,790円〜",評価なし,https://www.ikyu.com/00082352/?discsort=1&lc=1&ppc=2&rc=1&st=1
浅草ビューホテル,東京都・つくばエクスプレス「浅草駅」直結,"2名税込21,060円〜",評価なし,https://www.ikyu.com/00000147/?discsort=1&lc=1&ppc=2&rc=1&st=1
